KALCODE,Population2021
4905030149,0.0
4905010103,0.0
0501010202,0.0
3202010403,37.0
3202040209,17.0
2704030303,12.0
3201050102,21.0
2204030302,54.0
3602000304,0.0
3601040103,0.0
6701000207,5.0
3907010602,16.0
3801030102,48.0
3806040202,8.0
6106000012,0.0
6902000010,0.0
7204010704,0.0
7204030107,0.0
2901020105,341.0
6103000009,0.0
3601020602,0.0
3801010107,69.0
7204030108,0.0
7204030106,0.0
5202000004,71.0
5202000002,47.0
5203000503,0.0
5207020102,271.0
5207010104,3.0
5205000007,35.0
5205000010,64.0
5205000003,12.0
5205000005,50.0
5205000004,52.0
5205000009,20.0
5205000008,116.0
0703020202,378.0
0703020203,57.0
0704010202,1671.0
0714010103,97.0
0714010104,430.0
6201010702,11.0
4405020905,12.0
4405020304,27.0
4403020505,15.0
4403020507,4.0
4403020506,40.0
4405030206,0.0
4403020102,14.0
4403020103,30.0
4405020102,6.0
1304010702,90.0
1401010104,657.0
4405020402,9.0
4405030204,0.0
7407000903,38.0
4201010406,56.0
4203010116,3.0
4203010118,9.0
2205040202,79.0
0603010104,61.0
7305011403,1.0
7305030903,43.0
7305030603,0.0
0714030302,31.0
0713010102,255.0
0706010202,389.0
0706020102,398.0
0709040302,51.0
4103020102,8.0
4305031103,94.0
4403030502,24.0
4403010204,23.0
5501010502,101.0
0602010201,804.0
4403010302,26.0
4406060103,10.0
4406040102,32.0
4406010102,25.0
0601020605,45.0
4406040107,9.0
4406040402,76.0
4406040404,19.0
4406040403,46.0
4406040110,29.0
4406040108,30.0
4406011102,79.0
4402011004,19.0
4402011002,124.0
4402011604,17.0
4402011203,41.0
4402011905,0.0
4402010402,28.0
4402020403,21.0
4401010605,59.0
4401011102,23.0
4401010606,1.0
4401010106,34.0
4401010104,76.0
4401010102,29.0
4401010105,172.0
4401010103,40.0
4401010503,33.0
4401010302,148.0
4401010506,19.0
4401010602,4.0
4403070102,16.0
4403070702,5.0
4403070103,11.0
4403071002,4.0
4406020102,2.0
4404040602,6.0
4406020105,14.0
4406030704,17.0
4406030203,2.0
4406010111,11.0
4406010113,37.0
4406010104,47.0
4405030402,0.0
2703011401,64.0
2703010601,224.0
2703010801,176.0
2703010301,102.0
4913090103,62.0
4913010204,65.0
4906010103,245.0
1901030202,21.0
1901040602,14.0
1901040604,52.0
1901040605,40.0
1901030405,15.0
1901030402,19.0
1901030403,33.0
1901010102,125.0
1901010107,27.0
1901010108,81.0
5901030106,109.0
5901030107,42.0
5901030902,51.0
5901030903,7.0
5901030904,86.0
5901030702,17.0
5901030703,93.0
5901030503,35.0
5004010105,39.0
4905010106,0.0
4905030112,0.0
4905030163,0.0
3202040404,14.0
2704010203,9.0
4302031108,3.0
0104010703,0.0
5702000006,0.0
3602000303,0.0
7303010702,1.0
4203020102,3.0
4203020104,13.0
4203020103,5.0
4203010111,17.0
6202000020,0.0
6103000010,0.0
4402020203,25.0
7202010502,0.0
7204040205,0.0
7204040206,0.0
2907020102,35.0
5004010114,36.0
4905030158,0.0
2704010103,7.0
3201050104,26.0
3201040102,39.0
7101010007,209.0
3101080203,1.0
2206010104,34.0
3601060102,0.0
3601030505,0.0
6202000021,0.0
6202000009,0.0
6902000003,0.0
6903000005,13.0
4406010103,54.0
7204040107,0.0
7204040105,0.0
7204010703,0.0
4913010203,34.0
5401010117,266.0
3201050105,61.0
3201030102,71.0
7105010404,127.0
3101020102,36.0
3101030602,36.0
3602000308,0.0
3806040602,10.0
6202000014,0.0
6103000016,0.0
6103000020,0.0
6202000024,0.0
7204040111,0.0
7204040203,0.0
7204030116,0.0
4905030130,50.0
5401010103,128.0
5601010413,38.0
3201050103,14.0
3201030103,53.0
3601060103,0.0
4203010117,57.0
6902000008,0.0
